Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Freistaat Thüringen,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena,Friedrich Schiller University Jena,Friedrich Schiller University Jena,https://ror.org/05qpz1x62,grid.9613.d,grid.9613.d,NA,10363,Fürstengraben,1,NA,7743,Jena,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10363,,www.uni-jena.de,Universität,Universität,university,www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access.html,20.11.2020,Thomas Witzgall,www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access/Kontakt-EGOTEC-f1f8hj1349mm4a2ijkf36928j6-p-61067.html,20.11.2020,,"Annett Hafermann, Doreen Schäf",www.thulb.uni-jena.de/Kontakt+_+Service/Elektronisches+Publizieren+_+Open+Access.html#Kontakt,20.11.2020,www.thulb.uni-jena.de/Mailformulare/Driesch.html,nein,,,gefördert durch HORIZON2020; EC und ERC,www.thulb.uni-jena.de/thulb_multimedia/Downloads/Leitfaden+Open+Access+in+Horizon+2020.pdf,02 / 2015,ja,DFG-Kofinanziert,ja,www.thulb.uni-jena.de/Aktuelles/Open_Access_F%C3%B6rderung+an+der+ThULB.html,ja,www.thulb.uni-jena.de/Aktuelles/Open_Access_F%C3%B6rderung+im+Rahmen+der+Th%C3%BCringer+Digitalisierungsstrategie.html,20.11.2020,,www.db-thueringen.de/content/index.xml,,nein,,nein,,nein,"Christian Puta, 
 Arkadi V Chipouline, Nico Aneas, Helene Kreysa, Paula Louise Piechotta, Christoph Kaether, Twinkle Vohra",nein,20.11.2020
Freistaat Thüringen,Helmholtz-Institut Jena,Helmholtz-Institut Jena,Helmholtz Institute Jena,Helmholtz Institute Jena,https://ror.org/02rzw6h69,grid.450266.3,grid.450266.3,Q1603236,232220583,Fröbelstieg,3,NA,7743,Jena,"Mathematik, Naturwissenschaften","Physik, Astronomie",Physik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/232220583,www.hi-jena.de/de/,www.hi-jena.de/de/,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,,06.04.2021,,,06.04.2021,keine Hinweise,,,06.04.2021,,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,06.04.2021,,,,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,06.04.2021
Freistaat Thüringen,Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut (FLI),Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut e.V. (FLI),Leibniz Institute on Aging - Fritz Lipmann Institute (FLI),Leibniz Institute on Aging – Fritz Lipmann Institute,https://ror.org/039a53269,grid.418245.e,NA,Q1743407,10416,Beutenbergstraße,11,NA,7745,Jena,"Mathematik, Naturwissenschaften",Biologie,Biotechnologie (f. Biologen),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10416,www.leibniz-fli.de,www.leibniz-fli.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2021,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,"Christoph Kaether, Manuel E Than",nein,26.02.2021
Freistaat Thüringen,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. Hans-Knöll-Institut,Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. Hans-Knöll-Institut,Leibniz Institute for Natural Product Research and Infection Biology Hans Knöll Institute (HKI),Hans Knöll Institute,https://ror.org/055s37c97,grid.418398.f,NA,Q30281702,10415,Beutenbergstraße,11 a,NA,7745,Jena,"Mathematik, Naturwissenschaften",Biologie,Biologie allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10415,www.leibniz-hki.de,www.leibniz-hki.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Freistaat Thüringen,Leibniz-Institut für Photonische Technologien (IPHT),Leibniz-Institut für Photonische Technologien (IPHT),Leibniz Institute of Photonic Technology (IPHT),Leibniz Institute of Photonic Technology,https://ror.org/02se0t636,grid.418907.3,grid.418907.3,Q1664946,10414,Albert-Einstein-Straße,9,NA,7745,Jena,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Optoelektronik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10414,www.leibniz-ipht.de/,www.leibniz-ipht.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2023,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Freistaat Thüringen,Max-Planck-Institut für Biogeochemie (MPI-BGC),Max-Planck-Institut für Biogeochemie (MPI-BGC),Max Planck Institute of Biogeochemistry (MPI-BGC),Max Planck Institute for Biogeochemistry,https://ror.org/051yxp643,grid.419500.9,grid.419500.9,Q1912063,10711,Hans-Knöll-Straße,10,NA,7745,Jena,"Mathematik, Naturwissenschaften",Geowissenschaften (ohne Geographie),Geochemie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10711,www.bgc-jena.mpg.de,www.bgc-jena.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,http://www.clib-jena.mpg.de/ext/index.php?id=1467,26.02.2021,,,26.02.2021,keine Hinweise,Linda Maack,openaccess.mpg.de/318587/MPG-Open-Access-Network,26.02.2021,lmaack@bgc-jena.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Thüringen,Max-Planck-Institut für Chemische Ökologie,Max-Planck-Institut für Chemische Ökologie,Max Planck Institute for Dynamics and Self-Organization (MPIDS),Max Planck Institute for Chemical Ecology,https://ror.org/02ks53214,grid.418160.a,grid.418160.a,Q700245,10259,Am Faßberg,17,NA,37077,Göttingen,"Mathematik, Naturwissenschaften","Physik, Astronomie",Kernphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10259,www.ice.mpg.de/ext/index.php?id=institute&L=1,www.ice.mpg.de/ext/index.php?id=institute&L=1,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,http://www.clib-jena.mpg.de/ext/index.php?id=clib-jena,26.02.2021,,,26.02.2021,keine Hinweise,Linda Maack,openaccess.mpg.de/318587/MPG-Open-Access-Network,26.02.2021,lmaack@bgc-jena.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Thüringen,Max-Planck-Institut für Menschheitsgeschichte (MPI-SHH),Max-Planck-Institut für Menschheitsgeschichte (MPI-SHH),Max Planck Institute for the Science of Human History (MPI-SHH),Max Planck Institute for the Science of Human History,https://ror.org/05mjrzy91,grid.469873.7,grid.469873.7,Q1511732,10603,Kahlaische Straße,10,NA,7745,Jena,"Mathematik, Naturwissenschaften",Biologie,Genetik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10603,www.shh.mpg.de/,www.shh.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.shh.mpg.de/1834049/oa_mpg-neu,26.02.2021,,,26.02.2021,keine Hinweise,Kristin Starkloff,www.shh.mpg.de/1834049/oa_mpg-neu,26.02.2021,starkloff@shh.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Freistaat Thüringen,Technische Universität Ilmenau,Technische Universität Ilmenau,Ilmenau University of Technology,Ilmenau University of Technology,https://ror.org/01weqhp73,grid.6553.5,grid.6553.5,NA,10361,Ehrenbergstraße,29,NA,98693,Ilmenau,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10361,,www.tu-ilmenau.de/,Universität,Universität,university,www.tu-ilmenau.de/ilmedia/open-access/,20.11.2020,Dr. Peter Blume,www.tu-ilmenau.de/ilmedia/open-access/oa-publikationsfonds/,20.11.2020,,Dr. Peter Blume,www.tu-ilmenau.de/ilmedia/open-access/,20.11.2020,openaccess.ub@tu-ilmenau.de.,ja,11. März 2014,www.tu-ilmenau.de/ilmedia/open-access/oa-erklaerung/,,,,ja,DFG-Kofinanziert; Thüringer Landesfond + eigene Mittel,ja,www.tu-ilmenau.de/ilmedia/open-access/oa-publikationsfonds/,nein,,20.11.2020,keine Angabe zu Monografien/Sammelwerke,http://opac.lbs-ilmenau.gbv.de/LNG=DU/DB=1/,,nein,,nein,,nein,nein,nein,20.11.2020
Freistaat Thüringen,Universität Erfurt,Universität Erfurt,University of Erfurt,University of Erfurt,https://ror.org/03606hw36,grid.32801.38,grid.32801.38,NA,10768,Nordhäuser Straße,63,NA,99089,Erfurt,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10768,,www.uni-erfurt.de,Universität,Universität,university,www.uni-erfurt.de/bibliothek/forschen-und-publizieren/publizieren/open-access,20.11.2020,Gabor Kuhles,www.uni-erfurt.de/universitaet/aktuelles/news/news-detail/mittel-zur-foerderung-von-open-access,20.11.2020,,Carolin Ludwig,www.uni-erfurt.de/universitaet/aktuelles/news/news-detail/mittel-zur-foerderung-von-open-access,20.11.2020,etc@uni-erfurt.de,ja,06.12.2017,www.uni-erfurt.de/fileadmin/einrichtung/bibliothek/Themen/OA_FDM_DH/Open_Access_Policy_UE.pdf,,,,ja,Kofinanziert durch Thüringer Landesfond,ja,www.uni-erfurt.de/bibliothek/forschen-und-publizieren/publizieren/open-access,nein,,20.11.2020,in OA-Book = Monografien?,www.db-thueringen.de/content/index.xml,,nein,,nein,,nein,nein,nein,20.11.2020
Freistaat Thüringen,NA,Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut e.V. (FLI),Leibniz Institute on Aging - Fritz Lipmann Institute (FLI),Leibniz Institute on Aging – Fritz Lipmann Institute,https://ror.org/039a53269,grid.418245.e,NA,Q1743407,10416,Beutenbergstraße,11,NA,7745,Jena,"Mathematik, Naturwissenschaften",Biologie,Biotechnologie (f. Biologen),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10416,www.leibniz-fli.de,www.leibniz-fli.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Thüringen,NA,Fraunhofer-Institut für Angewandte Optik und Feinmechanik (IOF),Fraunhofer Institute for Applied Optics and Precision Engineering (IOF),NA,NA,NA,grid.418007.a,NA,10639,Albert-Einstein-Straße,7,NA,7745,Jena,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Technische/angewandte Optik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10639,,www.iof.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freistaat Thüringen,NA,Fraunhofer-Institut für Digitale Medientechnologie (IDMT),Fraunhofer Institute for Digital Media Technology (IDMT),NA,NA,NA,NA,NA,25935,Ehrenbergstraße,31,NA,98693,Ilmenau,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Kommunikations- und Informationstechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/25935,,www.idmt.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hessen,Goethe-Universität Frankfurt am Main,Goethe-Universität Frankfurt am Main,Goethe University Frankfurt,Goethe University Frankfurt,https://ror.org/04cvxnb49,grid.7839.5,grid.7839.5,NA,10206,Theodor-W.-Adorno-Platz,1,NA,60323,Frankfurt,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10206,,www.uni-frankfurt.de/de?locale=de,Universität,Universität,university,www.uni-frankfurt.de/54800999/Open-Access,23.11.2020,Dr. Roland Wagner,www.ub.uni-frankfurt.de/publizieren/,23.11.2020,,Dr. Roland Wagner,www.ub.uni-frankfurt.de/publizieren/,23.11.2020,openaccess@ub.uni-frankfurt.de,ja,03.2017,www.ub.uni-frankfurt.de/publizieren/,,,,ja,Eigenmittel,ja,www.ub.uni-frankfurt.de/publizieren/aufsaetze.html,nein,,23.11.2020,keine Angabe zu Monografien/Sammelwerke,http://publikationen.ub.uni-frankfurt.de/home,,nein,,nein,,nein,"Axel Kohler, 
 Anshu Bhattacharya, 
 Enzo Tagliazucchi, 
 Jose Gaspar Macia-Vicente, 
 Helma Lutz, Kira Kosnick, 
 Nathalie Dehne, 
 Anurag Bagaria",nein,23.11.2020
Hessen,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI Helmholtz Centre for Heavy Ion Research,GSI Helmholtz Centre for Heavy Ion Research,https://ror.org/02k8cbn47,grid.159791.2,grid.159791.2,Q703993,10224,Planckstraße,1,NA,64291,Darmstadt,"Mathematik, Naturwissenschaften","Physik, Astronomie",Physik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10224,www.gsi.de,www.gsi.de,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,www.gsi.de/bibliothekunddokumentation/open_access_gsi.htm?C=0,08.02.2021,Katrin Große,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,04.01.2021,,,,04.01.2021,k.grosse[at]gsi.de,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,08.02.2021,,http://repository.gsi.de/,,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,08.02.2021
Hessen,Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz Gemeinschaft,Herder-Institut für historische Ostmitteleuropaforschung - Institut der Leibniz Gemeinschaft,NA,Herder Institute,https://ror.org/00sngv739,grid.450908.0,NA,Q870192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,www.herder-institut.de/,www.herder-institut.de/,Forschungsorganisation: Leibniz-Gemeinschaft,,,https://www.herder-institut.de/open-access.html,26.02.2021,,,26.02.2021,keine Hinweise,Stephanie Palek,https://www.herder-institut.de/open-access.html,26.02.2021,,ja,21.03.2018,https://www.herder-institut.de/fileadmin/user_upload/pdf/Aktuelles/allgemein/Open-Access-Policy_dt.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,https://digital.herder-institut.de/publications/home,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Hessen,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,Justus Liebig University Giessen,University of Giessen,https://ror.org/033eqas34,grid.8664.c,NA,Q317053,10208,Ludwigstraße,23,NA,35390,Gießen,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10208,,www.uni-giessen.de/index.html,Universität,Universität,university,www.uni-giessen.de/ub/digitales-publizieren/openaccess,23.11.2020,,,23.11.2020,keine Hinweise,"Florian Ruckelshausen, Eva Christina Glaser",www.uni-giessen.de/ub/rnavi/kontakt/abt_anspr/oa,23.11.2020,openaccess@bibsys.uni-giessen.de,ja,03.2011,www.uni-giessen.de/ub/digitales-publizieren/files/oaresolution,,,,ja,Eigenmittel,ja,www.uni-giessen.de/ub/digitales-publizieren/openaccess/oafonds,ja,www.uni-giessen.de/ub/digitales-publizieren/openaccess/oa_monos,26.2.2021,"Ein Kofinanzierungmodell, bei dem max. 50 % der Kosten finanziert werden.",http://geb.uni-giessen.de/geb/,,nein,,nein,,nein,"Jochen Wilhelm, 
 Eva-Maria Prinzenberg, 
 Bernd Hoffmann, 
 Birgit Gemeinholzer",nein,23.11.2020
Hessen,Leibniz-Institut für Bildungsforschung und Bildungsinformation (DIPF),Leibniz-Institut für Bildungsforschung und Bildungsinformation (DIPF),Leibniz Institute for Research and Information in Education (DIPF),German Institute for International Educational Research,https://ror.org/0327sr118,grid.461683.e,grid.461683.e,Q1205728,10466,Rostocker Straße,6,NA,60323,Frankfurt,"Rechts-, Wirtschafts- und Sozialwissenschaften",Erziehungswissenschaften,Erziehungswissenschaft allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10466,www.dipf.de/,www.dipf.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,04.10.2016,https://www.dipf.de/de/forschung/publikationen/pdf-publikationen/open-access-policy-des-dipf/view,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,https://steg.dipf.de/de/wissensressourcen/open-access/suche,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Hessen,Leibniz-Institut für Finanzmarktforschung SAFE,Leibniz-Institut für Finanzmarktforschung SAFE,Leibniz Institute for Financial Research SAFE,Leibniz Institute for Financial Research SAFE,https://ror.org/05wxywg93,grid.509460.e,grid.505969.6,Q85559999,263945553,Theodor-W.-Adorno-Platz,3,NA,60323,Frankfurt,"Rechts-, Wirtschafts- und Sozialwissenschaften",Wirtschaftswissenschaften,Finanzwissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/263945553,www.safe-frankfurt.de/,www.safe-frankfurt.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://safe-frankfurt.de/de/forschung/translate-to-deutsch-open-access.html,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,14.12.2020,https://safe-frankfurt.de/de/forschung/translate-to-deutsch-open-access.html,,,,nein,,,,,,26.02.2021,,https://fifdev.safe-frankfurt.de/xmlui/handle/123456789/15780,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Hessen,Leibniz-Institut Hessische Stiftung Friedens- und Konfliktforschung (HSFK),Leibniz-Institut Hessische Stiftung Friedens- und Konfliktforschung (HSFK),Peace Research Institute Frankfurt (PRIF),Peace Research Institute Frankfurt,https://ror.org/021k10z87,grid.434826.f,grid.434826.f,Q1615908,10229,Baseler Straße,27-31,NA,60329,Frankfurt,"Rechts-, Wirtschafts- und Sozialwissenschaften",Politikwissenschaften,Politikwissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10229,www.hsfk.de/,www.hsfk.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.hsfk.de/publikationen/open-access,26.02.2021,,,26.02.2021,keine Hinweise,Dr. Andreas Heinemann,https://www.hsfk.de/publikationen/open-access,26.02.2021,heinemann@hsfk.de,ja,06.12.2016,https://www.hsfk.de/fileadmin/HSFK/hsfk_SonstigeDoks/HSFK_PRIF-Open-Access-Policy.pdf,,,,ja,Eigenmittel und über WGL Publikationsfonds,ja,https://www.hsfk.de/publikationen/open-access#c2839,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,,https://www.gesis.org/ssoar/home,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Hessen,Max-Planck-Forschungsstelle für Neurogenetik,Max-Planck-Forschungsstelle für Neurogenetik,Max Planck Research Centre for Neurogenetics,Max Planck Research Unit for Neurogenetics,https://ror.org/04fx38p98,grid.470209.8,NA,Q30265290,321495913,Max-von-Laue-Straße,4,NA,60438,Frankfurt,"Mathematik, Naturwissenschaften",Biologie,Neurobiologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/321495913,www.gen.mpg.de/,www.gen.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Hessen,Max-Planck-Institut für Biophysik,Max-Planck-Institut für Biophysik,Max Planck Institute of Biophysics,Max Planck Institute of Biophysics,https://ror.org/02panr271,grid.419494.5,grid.419494.5,Q255876,10219,Max-von-Laue-Straße,3,NA,60438,Frankfurt,"Mathematik, Naturwissenschaften",Biologie,Biophysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10219,www.biophys.mpg.de,www.biophys.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
